ID,Type,Parent,SKU,(Supplier)-SKU,Name,Upsells,Meta: _temp_related_skus,Published,Is featured?,Visibility in catalog,Description,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Collections,Images,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Meta: type,Meta: size,Meta: thickness,Meta: weight,Meta: composition,Meta: pattern,Meta: repeat,Meta: color,Meta: brand,Meta: origin,Meta: application,Meta: environment,Meta: project,Meta: durability,Meta: piling,Meta: color_resistance,Meta: color_fastness,Meta: seam_slippage,Meta: shrinkage_wet,Meta: flame_retardant,Meta: structural_compliance,Meta: thermal_resistance,Meta: weather_resistance,Meta: antibacterial,Meta: other_certifications,Meta: maintenance_&_care,Meta: warranty,Meta: minimum_order_quantity,Meta: lead_time,Meta: price_tier,Meta: note,Meta: _temp_collection_skus,Length (cm),Width (cm),Height (cm),Meta: primary_material,Meta: primary_finish,Meta: secondary_material,Meta: secondary_finish,Meta: Lighting,Meta: available_only_for,Meta: not_available_in,Meta: seat_height,Meta: armrest_height,Meta: seat_depth,Meta: fabric_composition,Meta: filling,Meta: backing,Meta: _note,Purchase Price_EURO,RRP_EURO,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
,Simple,,BGTQ.AZ.FR.Night.1000.Blackout.007,FR.Night.1000.Blackout.007,007,,BGTQ.AZ.FR.Night.1000.Blackout.008,1,0,visible,n/a,1,,,0,0,1,,,17.49,Fabrics > Drapery > FR Night 1000 Blackout,AZ Collection,AZ Collection > FR Night 1000 Blackout,"https://aznartextil.com/uploads/productos/colores/color_43_0_1764349229_7744.webp, https://aznartextil.com/uploads/productos/producto_productos_1764347495_4486.webp",,,0,Anzar Textil,Types,Printed,1,1,Color,,1,1,Composition,Polyester (Acrylic Back Coating),1,1,Application,"Curtain, Blackout",1,1,Features,"Indoor, Residential, Hospitality, Workplace, Contract, Flame Retardant , Thermal Resistance , Antibacterial",1,1,Printed,W: 280 cm L: 40 m,n/a,300 g/m²,100% Polyester (Acrylic Back Coating),n/a,n/a,,Anzar Textil,Spain,"Curtain, Blackout",Indoor,"Residential, Hospitality, Workplace, Contract",n/a,n/a,n/a,n/a,n/a,n/a,"European EN 13773 Clase 1
Italian UNI 9176 Classe Uno
France EN 1021 UNE 23727 NFP M1",n/a,"Thermal Comfort Product
UNE EN 410, Passed
UNE EN ISO 52022-3:2017, Result: gtot 0,298",n/a,"ISO 20743:2013-pto.8.1
Staphylococcus aureus (ATCC 6538), Result: 2.91 Significant
Klebsiella pneumoniae (ATCC 4352), Result: 4.95 Strong","Sound Absorption:
UNE EN ISO 354:2004, Result: (αw) 0.40
UNE EN ISO 11654:1998, Result: Class D
ASTM C423-09a, Result: NRC 0.45 / SAA 0.43
DB-HR, Result: (αmedio) 0.53",Washable max. 30° gentle wash. Do not bleach. Line dry in the shade. Do not tumble dry. Iron max. 110°. Do not dry clean.,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,
,Simple,,BGTQ.AZ.Solution.Dyed.Acrylic.800.000,Solution.Dyed.Acrylic.800.000,000,,BGTQ.AZ.Solution.Dyed.Acrylic.800.060,1,0,visible,n/a,1,,,0,0,1,,,10.48,Fabrics > Woven > Solution Dyed Acrylic 800,AZ Collection,AZ Collection > Solution Dyed Acrylic 800,"https://aznartextil.com/uploads/productos/colores/color_33_0_1764320025_8276.webp, https://aznartextil.com/uploads/productos/producto_33_1764320025_2794.webp, https://aznartextil.com/uploads/productos/producto_productos_1764320500_9435.webp, https://aznartextil.com/uploads/productos/producto_productos_1764320500_5684.webp",,,0,Anzar Textil,Types,Jacquard,1,1,Color,,1,1,Composition,Acrylic (Solution Dyed),1,1,Application,"Upholstery, Decorative, Curtain, Awning",1,1,Features,"Indoor, Outdoor, Residential, Hospitality, Workplace, Contract, Color Fastness , Weather Resistance",1,1,Jacquard,W: 160 cm L: 150 m,n/a,257 g/m²,100% Acrylic (Solution Dyed),n/a,n/a,,Anzar Textil,Spain,"Upholstery, Decorative, Curtain, Awning","Indoor, Outdoor","Residential, Hospitality, Workplace, Contract",n/a,n/a,n/a,"EN ISO 105 B02, 2014 Method 2, Result: 7-8",n/a,n/a,n/a,n/a,n/a,Water repellent with anti-stain treatment.,n/a,OEKO-TEX® Certified,Washable max. 30° gentle wash. Do not bleach. Do not tumble dry. Iron max. 110°. Do not dry clean.,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,
,Simple,,BGTQ.AZ.Solution.Dyed.Acrylic.800.000,Solution.Dyed.Acrylic.800.000,000,,BGTQ.AZ.Solution.Dyed.Acrylic.800.060|BGTQ.AZ.Solution.Dyed.Acrylic.800.062|BGTQ.AZ.Solution.Dyed.Acrylic.800.063|BGTQ.AZ.Solution.Dyed.Acrylic.800.064|BGTQ.AZ.Solution.Dyed.Acrylic.800.065|BGTQ.AZ.Solution.Dyed.Acrylic.800.066|BGTQ.AZ.Solution.Dyed.Acrylic.800.076|BGTQ.AZ.Solution.Dyed.Acrylic.800.075|BGTQ.AZ.Solution.Dyed.Acrylic.800.070|BGTQ.AZ.Solution.Dyed.Acrylic.800.007|BGTQ.AZ.Solution.Dyed.Acrylic.800.008|BGTQ.AZ.Solution.Dyed.Acrylic.800.009|BGTQ.AZ.Solution.Dyed.Acrylic.800.021|BGTQ.AZ.Solution.Dyed.Acrylic.800.022|BGTQ.AZ.Solution.Dyed.Acrylic.800.020|BGTQ.AZ.Solution.Dyed.Acrylic.800.081|BGTQ.AZ.Solution.Dyed.Acrylic.800.082|BGTQ.AZ.Solution.Dyed.Acrylic.800.040,1,0,visible,n/a,1,,,0,0,1,,,10.48,Fabrics > Jacquard > Solution Dyed Acrylic 800,AZ Collection,AZ Collection > Solution Dyed Acrylic 800,"https://aznartextil.com/uploads/productos/colores/color_33_0_1764320025_8276.webp,
https://aznartextil.com/uploads/productos/producto_33_1764320025_2794.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764320500_9435.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764320500_5684.webp",,,0,Anzar Textil,Types,Jacquard,1,1,Color,White,1,1,Composition,Acrylic (Solution Dyed),1,1,Application,"Upholstery, Decorative, Curtain, Awning",1,1,Features,"Indoor, Outdoor, Residential, Hospitality, Workplace, Contract, Color Fastness , Weather Resistance",1,1,Jacquard,W: 160 cm L: 150 m,n/a,257 g/m²,100% Acrylic (Solution Dyed),n/a,n/a,White,Anzar Textil,Spain,"Upholstery, Decorative, Curtain, Awning","Indoor, Outdoor","Residential, Hospitality, Workplace, Contract",n/a,n/a,n/a,"EN ISO 105 B02, 2014 Method 2, Result: 7-8",n/a,n/a,n/a,n/a,n/a,Water repellent with anti-stain treatment.,n/a,OEKO-TEX® Certified,"Washable max 30°C gentle wash.
Do not bleach.
Do not tumble dry.
Iron at low temperature.
Do not dry clean.",n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,
,Simple,,BGTQ.AZ.Solution.Dyed.Acrylic.801.000,Solution.Dyed.Acrylic.801.000,000,,BGTQ.AZ.Solution.Dyed.Acrylic.801.060|BGTQ.AZ.Solution.Dyed.Acrylic.801.062|BGTQ.AZ.Solution.Dyed.Acrylic.801.063|BGTQ.AZ.Solution.Dyed.Acrylic.801.064|BGTQ.AZ.Solution.Dyed.Acrylic.801.067|BGTQ.AZ.Solution.Dyed.Acrylic.801.066|BGTQ.AZ.Solution.Dyed.Acrylic.801.065|BGTQ.AZ.Solution.Dyed.Acrylic.801.076|BGTQ.AZ.Solution.Dyed.Acrylic.801.075|BGTQ.AZ.Solution.Dyed.Acrylic.801.071|BGTQ.AZ.Solution.Dyed.Acrylic.801.070|BGTQ.AZ.Solution.Dyed.Acrylic.801.006|BGTQ.AZ.Solution.Dyed.Acrylic.801.008|BGTQ.AZ.Solution.Dyed.Acrylic.801.009|BGTQ.AZ.Solution.Dyed.Acrylic.801.021|BGTQ.AZ.Solution.Dyed.Acrylic.801.022|BGTQ.AZ.Solution.Dyed.Acrylic.801.023|BGTQ.AZ.Solution.Dyed.Acrylic.801.082|BGTQ.AZ.Solution.Dyed.Acrylic.801.081|BGTQ.AZ.Solution.Dyed.Acrylic.801.080|BGTQ.AZ.Solution.Dyed.Acrylic.801.041|BGTQ.AZ.Solution.Dyed.Acrylic.801.040,1,0,visible,n/a,1,,,0,0,1,,,11.65,Fabrics > Jacquard > Solution Dyed Acrylic 801,AZ Collection,AZ Collection > Solution Dyed Acrylic 801,"https://aznartextil.com/uploads/productos/colores/color_34_0_1764322522_5385.webp,
https://aznartextil.com/uploads/productos/producto_34_1764322522_5830.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764322867_3566.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764322867_4998.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764322867_9590.webp",,,0,Anzar Textil,Types,Jacquard,1,1,Color,White 01,1,1,Composition,Acrylic (Solution Dyed),1,1,Application,"Upholstery, Decorative, Curtain, Awning",1,1,Features,"Indoor, Outdoor, Residential, Hospitality, Workplace, Contract, Color Fastness , Weather Resistance",1,1,Jacquard,W: 160 cm L: 150 m,n/a,280 g/m²,100% Acrylic (Solution Dyed),n/a,n/a,White 01,Anzar Textil,Spain,"Upholstery, Decorative, Curtain, Awning","Indoor, Outdoor","Residential, Hospitality, Workplace, Contract",n/a,n/a,n/a,"EN ISO 105 B02, 2014 Method 2, Result: 7-8",n/a,n/a,n/a,n/a,n/a,Water repellent with anti-stain treatment.,n/a,OEKO-TEX® Certified,"Washable max 30°C gentle wash.
Do not bleach.
Do not tumble dry.
Iron at low temperature.
Do not dry clean.",n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,
,Simple,,BGTQ.AZ.Solution.Dyed.Acrylic.802.000,Solution.Dyed.Acrylic.802.000,000,,BGTQ.AZ.Solution.Dyed.Acrylic.802.060|BGTQ.AZ.Solution.Dyed.Acrylic.802.062|BGTQ.AZ.Solution.Dyed.Acrylic.802.063|BGTQ.AZ.Solution.Dyed.Acrylic.802.065|BGTQ.AZ.Solution.Dyed.Acrylic.802.006|BGTQ.AZ.Solution.Dyed.Acrylic.802.007|BGTQ.AZ.Solution.Dyed.Acrylic.802.009|BGTQ.AZ.Solution.Dyed.Acrylic.802.020|BGTQ.AZ.Solution.Dyed.Acrylic.802.040|BGTQ.AZ.Solution.Dyed.Acrylic.802.075|BGTQ.AZ.Solution.Dyed.Acrylic.802.070|BGTQ.AZ.Solution.Dyed.Acrylic.802.082,1,0,visible,n/a,1,,,0,0,1,,,13.52,Fabrics > Jacquard > Solution Dyed Acrylic 802,AZ Collection,AZ Collection > Solution Dyed Acrylic 802,"https://aznartextil.com/uploads/productos/colores/color_35_0_1764326949_5934.webp,
https://aznartextil.com/uploads/productos/producto_35_1764326949_1588.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764327297_4331.webp",,,0,Anzar Textil,Types,Jacquard,1,1,Color,White 01,1,1,Composition,Acrylic (Solution Dyed),1,1,Application,"Upholstery, Decorative, Curtain, Awning",1,1,Features,"Indoor, Outdoor, Residential, Hospitality, Workplace, Contract, Color Fastness , Weather Resistance",1,1,Jacquard,W: 160 cm L: 150 m,n/a,297 g/m²,100% Acrylic (Solution Dyed),n/a,n/a,White 01,Anzar Textil,Spain,"Upholstery, Decorative, Curtain, Awning","Indoor, Outdoor","Residential, Hospitality, Workplace, Contract",n/a,n/a,n/a,"EN ISO 105 B02, 2014 Method 2, Result: 7-8",n/a,n/a,n/a,n/a,n/a,Water repellent with anti-stain treatment.,n/a,OEKO-TEX® Certified,"Washable max 30°C gentle wash.
Do not bleach.
Do not tumble dry.
Iron at low temperature.
Do not dry clean.",n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,
,Simple,,BGTQ.AZ.Solution.Dyed.Acrylic.803.000,Solution.Dyed.Acrylic.803.000,000,,BGTQ.AZ.Solution.Dyed.Acrylic.803.060|BGTQ.AZ.Solution.Dyed.Acrylic.803.062|BGTQ.AZ.Solution.Dyed.Acrylic.803.063|BGTQ.AZ.Solution.Dyed.Acrylic.803.065|BGTQ.AZ.Solution.Dyed.Acrylic.803.006|BGTQ.AZ.Solution.Dyed.Acrylic.803.007|BGTQ.AZ.Solution.Dyed.Acrylic.803.009|BGTQ.AZ.Solution.Dyed.Acrylic.803.080|BGTQ.AZ.Solution.Dyed.Acrylic.803.081|BGTQ.AZ.Solution.Dyed.Acrylic.803.021|BGTQ.AZ.Solution.Dyed.Acrylic.803.040,1,0,visible,n/a,1,,,0,0,1,,,13.99,Fabrics > Jacquard > Solution Dyed Acrylic 803,AZ Collection,AZ Collection > Solution Dyed Acrylic 803,"https://aznartextil.com/uploads/productos/colores/color_36_0_1764328327_9799.webp,
https://aznartextil.com/uploads/productos/producto_36_1764328327_7240.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764328704_2984.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764328704_4582.webp",,,0,Anzar Textil,Types,Jacquard,1,1,Color,White 01,1,1,Composition,Acrylic (Solution Dyed),1,1,Application,"Upholstery, Decorative, Curtain, Awning",1,1,Features,"Indoor, Outdoor, Residential, Hospitality, Workplace, Contract, Color Fastness , Weather Resistance",1,1,Jacquard,W: 160 cm L: 150 m,n/a,268 g/m²,100% Acrylic (Solution Dyed),n/a,n/a,White 01,Anzar Textil,Spain,"Upholstery, Decorative, Curtain, Awning","Indoor, Outdoor","Residential, Hospitality, Workplace, Contract",n/a,n/a,n/a,"EN ISO 105 B02, 2014 Method 2, Result: 7-8",n/a,n/a,n/a,n/a,n/a,Water repellent with anti-stain treatment.,n/a,OEKO-TEX® Certified,"Washable max 30°C gentle wash.
Do not bleach.
Do not tumble dry.
Iron at low temperature.
Do not dry clean.",n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,
,Simple,,BGTQ.AZ.Solution.Dyed.Acrylic.804.000,Solution.Dyed.Acrylic.804.000,000,,BGTQ.AZ.Solution.Dyed.Acrylic.804.060|BGTQ.AZ.Solution.Dyed.Acrylic.804.062|BGTQ.AZ.Solution.Dyed.Acrylic.804.063|BGTQ.AZ.Solution.Dyed.Acrylic.804.006|BGTQ.AZ.Solution.Dyed.Acrylic.804.007|BGTQ.AZ.Solution.Dyed.Acrylic.804.021|BGTQ.AZ.Solution.Dyed.Acrylic.804.081|BGTQ.AZ.Solution.Dyed.Acrylic.804.040,1,0,visible,n/a,1,,,0,0,1,,,13.99,Fabrics > Jacquard > Solution Dyed Acrylic 804,AZ Collection,AZ Collection > Solution Dyed Acrylic 804,"https://aznartextil.com/uploads/productos/colores/color_37_0_1764329232_8246.webp,
https://aznartextil.com/uploads/productos/producto_37_1764329232_5235.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764329264_2589.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764329264_4833.webp",,,0,Anzar Textil,Types,Jacquard,1,1,Color,White 01,1,1,Composition,Acrylic (Solution Dyed),1,1,Application,"Upholstery, Decorative, Curtain, Awning",1,1,Features,"Indoor, Outdoor, Residential, Hospitality, Workplace, Contract, Color Fastness , Weather Resistance",1,1,Jacquard,W: 160 cm L: 150 m,n/a,306 g/m²,100% Acrylic (Solution Dyed),n/a,n/a,White 01,Anzar Textil,Spain,"Upholstery, Decorative, Curtain, Awning","Indoor, Outdoor","Residential, Hospitality, Workplace, Contract",n/a,n/a,n/a,"EN ISO 105 B02, 2014 Method 2, Result: 7-8",n/a,n/a,n/a,n/a,n/a,Water repellent with anti-stain treatment.,n/a,OEKO-TEX® Certified,"Washable max 30°C gentle wash.
Do not bleach.
Do not tumble dry.
Iron at low temperature.
Do not dry clean.",n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,
,Simple,,BGTQ.AZ.Solution.Dyed.Acrylic.805.000,Solution.Dyed.Acrylic.805.000,000,,BGTQ.AZ.Solution.Dyed.Acrylic.805.060|BGTQ.AZ.Solution.Dyed.Acrylic.805.062|BGTQ.AZ.Solution.Dyed.Acrylic.805.063|BGTQ.AZ.Solution.Dyed.Acrylic.805.064|BGTQ.AZ.Solution.Dyed.Acrylic.805.066|BGTQ.AZ.Solution.Dyed.Acrylic.805.065|BGTQ.AZ.Solution.Dyed.Acrylic.805.006|BGTQ.AZ.Solution.Dyed.Acrylic.805.005|BGTQ.AZ.Solution.Dyed.Acrylic.805.007|BGTQ.AZ.Solution.Dyed.Acrylic.805.020|BGTQ.AZ.Solution.Dyed.Acrylic.805.040,1,0,visible,n/a,1,,,0,0,1,,,13.99,Fabrics > Jacquard > Solution Dyed Acrylic 805,AZ Collection,AZ Collection > Solution Dyed Acrylic 805,"https://aznartextil.com/uploads/productos/colores/color_38_0_1764330057_8724.webp,
https://aznartextil.com/uploads/productos/producto_38_1764330057_7344.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764330409_1364.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764330409_2388.webp",,,0,Anzar Textil,Types,Jacquard,1,1,Color,White 01,1,1,Composition,Acrylic (Solution Dyed),1,1,Application,"Upholstery, Decorative, Curtain, Awning",1,1,Features,"Indoor, Outdoor, Residential, Hospitality, Workplace, Contract, Color Fastness , Weather Resistance",1,1,Jacquard,W: 160 cm L: 150 m,n/a,301 g/m²,100% Acrylic (Solution Dyed),n/a,n/a,White 01,Anzar Textil,Spain,"Upholstery, Decorative, Curtain, Awning","Indoor, Outdoor","Residential, Hospitality, Workplace, Contract",n/a,n/a,n/a,"EN ISO 105 B02, 2014 Method 2, Result: 7-8",n/a,n/a,n/a,n/a,n/a,Water repellent with anti-stain treatment.,n/a,OEKO-TEX® Certified,"Washable max 30°C gentle wash.
Do not bleach.
Do not tumble dry.
Iron at low temperature.
Do not dry clean.",n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,
,Simple,,BGTQ.AZ.FR.3300.Extralarge.006,FR.3300.Extralarge.006,006,,BGTQ.AZ.FR.3300.Extralarge.009|BGTQ.AZ.FR.3300.Extralarge.060|BGTQ.AZ.FR.3300.Extralarge.062|BGTQ.AZ.FR.3300.Extralarge.063,1,0,visible,n/a,1,,,0,0,1,,,9.81,Fabrics > Voiles > FR 3300 Extralarge,AZ Collection,AZ Collection > FR 3300 Extralarge,"https://aznartextil.com/uploads/productos/colores/color_20_0_1764084334_6096.webp,
https://aznartextil.com/uploads/productos/producto_20_1764084334_7394.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764084550_5528.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764084550_3952.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764084550_5485.webp",,,0,Anzar Textil,Types,Voiles,1,1,Color,Grey 01,1,1,Composition,Acrylic (Solution Dyed),1,1,Application,Upholstery,1,1,Features,"Indoor, Outdoor, Residential, Hospitality, Workplace, Contract, Color Fastness , Weather Resistance",1,1,Voiles,W: 330 cm L: 30 m,n/a,117 g/m²,100% Polyester,n/a,n/a,Grey 01,Anzar Textil,Spain,Upholstery,Indoor,"Residential, Hospitality, Workplace, Contract",n/a,n/a,n/a,n/a,n/a,n/a,"European EN 13773 Clase 1
Italian UNI 9176 Classe Uno",n/a,n/a,n/a,n/a,"OEKO-TEX® Certified
Global Recycled Standard","Washable max 30°C gentle wash.
Do not bleach.
Line dry in the shade.
Do not tumble dry.
Iron max 110°
Professional Dry Clean.",n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,
,Simple,,BGTQ.AZ.FR.Eolo.000,FR.Eolo.000,000,,BGTQ.AZ.FR.Eolo.060|BGTQ.AZ.FR.Eolo.061,1,0,visible,n/a,1,,,0,0,1,,,6.12,Fabrics > Voiles > FR Eolo,AZ Collection,AZ Collection > FR Eolo,"https://aznartextil.com/uploads/productos/colores/color_14_0_1764070511_2999.webp,
https://aznartextil.com/uploads/productos/producto_14_1764070511_7754.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764070711_6447.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764070711_8370.webp,
https://aznartextil.com/uploads/productos/producto_productos_1764070753_4806.webp",,,0,Anzar Textil,Types,Voiles,1,1,Color,Grey 01,1,1,Composition,Acrylic (Solution Dyed),1,1,Application,Upholstery,1,1,Features,"Indoor, Outdoor, Residential, Hospitality, Workplace, Contract, Color Fastness , Weather Resistance",1,1,Voiles,W: 300 cm L: 40 m,n/a,49 g/m²,100% Polyester,n/a,n/a,Grey 01,Anzar Textil,Spain,Upholstery,Indoor,"Residential, Hospitality, Workplace, Contract",n/a,n/a,n/a,n/a,n/a,n/a,European EN 13773 Clase 1,n/a,n/a,n/a,n/a,OEKO-TEX® Certified,"Washable max 30°C gentle wash.
Do not bleach.
Line dry in the shade.
Do not tumble dry.
Iron max 110°
Professional Dry Clean.",n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,
